Asset,Date,Count visitation
Balgowlah,6/03/2021,7135
Balgowlah,7/03/2021,7916
Balgowlah,8/03/2021,7421
Balgowlah,9/03/2021,7792
Balgowlah,10/03/2021,8033
Balgowlah,11/03/2021,8533
Balgowlah,12/03/2021,8495
Balgowlah,13/03/2021,7358
Balgowlah,14/03/2021,7865
Balgowlah,15/03/2021,7718
Balgowlah,16/03/2021,8130
Balgowlah,17/03/2021,8490
Balgowlah,18/03/2021,8944
Balgowlah,19/03/2021,8966
Balgowlah,20/03/2021,7773
Balgowlah,21/03/2021,8375
Balgowlah,22/03/2021,8065
Balgowlah,23/03/2021,7822
Balgowlah,24/03/2021,8323
Balgowlah,25/03/2021,8768
Balgowlah,26/03/2021,9037
Balgowlah,27/03/2021,7635
Balgowlah,28/03/2021,8384
Balgowlah,29/03/2021,8311
Balgowlah,30/03/2021,8758
Balgowlah,31/03/2021,11251
Balgowlah,1/04/2021,15
Balgowlah,2/04/2021,10464
Balgowlah,3/04/2021,12
Balgowlah,4/04/2021,7135
Balgowlah,5/04/2021,8427
Balgowlah,6/04/2021,8096
Balgowlah,7/04/2021,8374
Balgowlah,8/04/2021,8725
Balgowlah,9/04/2021,8251
Balgowlah,10/04/2021,6964
Balgowlah,11/04/2021,8066
Balgowlah,12/04/2021,7634
Balgowlah,13/04/2021,7934
Balgowlah,14/04/2021,8237
Balgowlah,15/04/2021,3443
Balgowlah,16/04/2021,8435
Balgowlah,17/04/2021,2
Balgowlah,18/04/2021,8971
Balgowlah,19/04/2021,8207
Balgowlah,20/04/2021,8144
Balgowlah,21/04/2021,8061
Balgowlah,22/04/2021,8808
Balgowlah,23/04/2021,8707
Balgowlah,24/04/2021,6450
Balgowlah,25/04/2021,8641
Balgowlah,26/04/2021,7916
Balgowlah,27/04/2021,7881
Balgowlah,28/04/2021,8210
Balgowlah,29/04/2021,8464
Balgowlah,30/04/2021,8484
Balgowlah,1/05/2021,7547
Balgowlah,2/05/2021,8378
Balgowlah,3/05/2021,7827
Balgowlah,4/05/2021,8292
Balgowlah,5/05/2021,8375
Balgowlah,6/05/2021,8819
Balgowlah,7/05/2021,10381
Balgowlah,8/05/2021,7875
Balgowlah,9/05/2021,8330
Balgowlah,10/05/2021,7809
Balgowlah,11/05/2021,8191
Balgowlah,12/05/2021,8138
Balgowlah,13/05/2021,8788
Balgowlah,14/05/2021,8637
Balgowlah,15/05/2021,7164
Balgowlah,16/05/2021,8098
Balgowlah,17/05/2021,7793
Balgowlah,18/05/2021,7948
Balgowlah,19/05/2021,8382
Balgowlah,20/05/2021,8718
Balgowlah,21/05/2021,8420
Balgowlah,22/05/2021,7283
Balgowlah,23/05/2021,8066
Balgowlah,24/05/2021,7932
Balgowlah,25/05/2021,7857
Balgowlah,26/05/2021,8093
Balgowlah,27/05/2021,8390
Balgowlah,28/05/2021,8588
Balgowlah,29/05/2021,7105
Balgowlah,30/05/2021,8388
Balgowlah,31/05/2021,7851
Balgowlah,1/06/2021,8090
Balgowlah,2/06/2021,8485
Balgowlah,3/06/2021,8813
Balgowlah,4/06/2021,8637
Balgowlah,5/06/2021,7191
Balgowlah,6/06/2021,8442
Balgowlah,7/06/2021,7782
Balgowlah,8/06/2021,7829
Balgowlah,9/06/2021,8551
Balgowlah,10/06/2021,8961
Balgowlah,11/06/2021,8543
Balgowlah,12/06/2021,6610
Balgowlah,13/06/2021,6846
Balgowlah,14/06/2021,8328
Balgowlah,15/06/2021,8251
Balgowlah,16/06/2021,8157
Balgowlah,17/06/2021,8640
Balgowlah,18/06/2021,8829
Balgowlah,19/06/2021,7563
Balgowlah,20/06/2021,17020
Balgowlah,21/06/2021,10848
Balgowlah,22/06/2021,8387
Balgowlah,23/06/2021,8458
Balgowlah,24/06/2021,8724
Balgowlah,25/06/2021,8572
Balgowlah,26/06/2021,5260
Balgowlah,27/06/2021,5863
Balgowlah,28/06/2021,6430
Balgowlah,29/06/2021,6305
Balgowlah,30/06/2021,6145
Balgowlah,1/07/2021,
Balgowlah,2/07/2021,
Balgowlah,3/07/2021,
Balgowlah,4/07/2021,
Balgowlah,5/07/2021,
Balgowlah,6/07/2021,
Balgowlah,7/07/2021,
Balgowlah,8/07/2021,
Balgowlah,9/07/2021,
Balgowlah,10/07/2021,
